datetime,ACC001_X,ACC001_Y,ACC001_Z,ACC002_Z,ACC003_Z,CAC001,CAC002,CAC003,CAC004,CAC005,CAC006,CAC007,CAC008,CAC009,CAC010,CAC011,CAC013,CAC014,CAC015,CAC016,CAC017,CAC018,DIS001_Y,DIS001_Z,EQK_TJAX,EQK_TJAY,EQK_TJBX,EQK_TJBY,EQK_TJBZ,EQK_TJCX,EQK_TJCY,EQK_TJDX,EQK_TJGE,EQK_TJGN,EQK_TJGZ,EQK_TJHZ,EQK_TJPX,EQK_TJQY,EQK_TJQZ,EQK001_X,EQK001_Y,EQK001_Z,FBG001,FBG002,FBG003,FBG004,FBG005,FBG006,FBG007,FBG008,FBG009,FBG010,FBG011,FBG012,FBG013,FBG014,FBG015,FBG016,FBG017,FBG018,FBG019,FBG020,FBG021,FBG022,FBG023,FBG024,FBT001,FBT005,FBT006,FBT007,FBT009,FBT010,FBT011,FBT012,FBT013,FBT014,FBT015,FBT016,FBT017,FBT018,FBT019,FBT020,GNS001_X,GNS001_Y,GNS001_Z,GNS002_X,GNS002_Y,GNS002_Z,GNS003_X,GNS003_Y,GNS003_Z,WGT001_D,WGT001_S,WGT001_V,WGT002_D,WGT002_S,WGT002_V,WVR001_HDR,WVR001_HSP,WVR001_PDR,WVR001_PSP,WVR002_HDR,WVR002_HSP,WVR002_PDR,WVR002_PSP
2018-03-26 21:43:00,44.01042,29.46131,12.38295,974.8034,1007.152,713.5081,706.4435,349.2907,380.1717,650.547,680.0094,903.6051,864.3636,906.1796,912.5056,61.19477,869.7827,911.9486,657.4996,680.367,690.2928,696.8789,717.0285,1094.825,0.4846867,1.387174,5.262578,4.963956,4.465004,0.4396044,0.4095156,23.15822,11.78926,1.981659,4.294017,3.700189,899.5838,2.627733,3.477167,3.517983,1.231205,0.184289,0.0,0.0,0.0,10.18289,500.8526,107.4353,763.5852,1287.413,1205.726,1013.504,193.1624,231.1673,1543.378,229.3813,198.3709,302.5448,213.7144,272.9188,47.56347,212.2542,401.2656,804.1738,215.2272,255.8101,1530.564,1527.416,1526.387,1524.757,1522.265,1521.347,1531.117,1529.489,1528.474,1526.977,1525.783,1524.915,1524.222,1523.283,1521.845,1520.771,1.211748,4.136101,4.720109,6.530314,9.435147,5.634462,14.16701,5.921064,3.356551,60.21637,60.24947,60.22963,0.09817841,0.4811314,0.07413268,35.26291,60.22963,225.0157,85.18222,89.88293,53.62518,174.6776,0.123023
2018-03-26 21:45:00,44.00478,29.45151,12.35526,974.8002,1007.146,713.4486,706.4336,349.2703,380.0927,650.5694,680.0186,903.4426,864.3381,906.1565,912.5197,61.19451,869.8137,911.9695,657.5179,680.3842,690.2571,696.8609,716.918,1094.725,0.4680648,1.377119,5.25893,4.961851,4.456335,0.4407271,0.4030381,23.15483,11.78118,1.98483,4.291069,3.704689,899.5812,2.629772,3.504339,3.51972,1.223913,0.1836251,0.0,0.0,0.0,9.484165,500.26,106.9431,757.7595,1289.595,1202.253,1011.045,185.1827,230.6292,1548.931,228.7808,197.9126,302.0183,212.5595,272.1987,46.96814,211.5414,400.3099,804.4328,214.6757,255.6862,1530.564,1527.415,1526.387,1524.756,1522.264,1521.347,1531.117,1529.488,1528.474,1526.976,1525.783,1524.915,1524.221,1523.283,1521.844,1520.771,1.891869,4.011006,10.47644,6.457554,8.933458,9.066228,12.75049,7.312182,5.651508,60.21637,60.24947,60.22963,0.1991438,0.5761187,0.0421688,35.26291,60.22963,225.0157,85.18222,89.80259,53.61747,103.2164,0.2035595
2018-03-26 22:16:00,43.90981,29.28875,11.9071,974.8149,1007.01,713.4091,706.5222,349.1965,379.9849,650.5231,679.9998,904.2505,863.975,905.9302,912.4987,61.20303,869.8011,911.8513,657.492,680.3684,690.1196,696.8639,716.5218,1094.402,0.283051,1.206911,5.205907,4.930785,4.326663,0.4434822,0.2991812,23.16162,11.65446,2.031851,4.250431,3.851469,899.5242,2.695074,3.973999,3.544632,1.105754,0.1651261,0.0,0.0,0.0,2.519221,491.6377,98.35334,785.5031,1292.061,1222.612,1050.59,281.3489,221.938,1533.931,219.4908,191.8251,292.2109,202.8764,263.7559,35.19329,200.4256,386.7748,809.1355,204.6974,252.339,1530.564,1527.404,1526.384,1524.747,1522.254,1521.344,1531.113,1529.48,1528.471,1526.966,1525.78,1524.906,1524.218,1523.282,1521.838,1520.771,1.205197,1.382691,2.57427,10.25687,11.54368,3.494894,15.30939,2.936892,23.57558,60.21637,60.24947,60.22963,0.4453413,1.160136,0.06677579,35.26291,60.22963,225.0157,85.18222,89.55771,53.58983,268.5168,0.4503197
2018-03-26 22:19:00,43.90212,29.27294,11.86261,974.8074,1007.014,713.5994,706.5112,349.196,380.0162,650.479,680.0113,904.2125,864.0393,905.9542,912.4936,61.20481,869.7695,911.858,657.4967,680.4057,690.1095,696.8418,716.6084,1094.482,0.3295448,1.188427,5.201803,4.928643,4.31732,0.4450808,0.289376,23.1594,11.64202,2.036642,4.245899,3.937199,899.5164,2.70492,4.086003,3.54709,1.096166,0.1652985,0.0,0.0,0.0,3.7138,490.7521,97.26323,792.1505,1292.578,1214.681,1039.303,271.4832,221.238,1538.386,218.474,191.3199,291.3948,201.3076,262.9087,34.16685,199.2934,385.4235,809.7002,203.833,251.8741,1530.564,1527.403,1526.384,1524.746,1522.253,1521.344,1531.113,1529.48,1528.471,1526.966,1525.78,1524.905,1524.218,1523.282,1521.837,1520.771,1.702449,1.48627,6.328341,8.721573,10.69319,2.951757,13.06446,3.935141,14.01969,60.21637,60.24947,60.22963,0.3298435,1.347265,0.1147061,35.26291,60.22963,225.0157,85.18222,89.68308,53.59587,237.2393,0.3492194
2018-03-27 09:23:00,42.78766,28.46676,8.278834,974.7818,1005.85,712.7281,705.6402,349.9948,381.0993,651.0981,680.5388,901.4787,866.5456,906.4765,913.4159,61.3818,870.0461,914.0776,656.6652,681.0732,690.4018,697.5064,711.6447,1090.446,2.518802,0.5268476,4.872027,4.668075,3.948067,0.5698142,0.8940903,23.19917,12.56808,3.007916,5.109165,5.254452,900.3978,2.323446,5.472747,3.756557,0.3958992,0.0344892,0.0,0.0,0.0,47.75159,454.3092,38.06534,858.087,1301.512,1272.073,998.1278,177.373,190.4449,1527.101,171.4388,171.956,270.4578,145.051,236.2572,6.204885,111.4679,330.8175,860.0236,185.7149,184.1799,1530.564,1527.3,1526.36,1524.659,1522.167,1521.321,1531.092,1529.421,1528.448,1526.881,1525.756,1524.89,1524.186,1523.242,1521.774,1520.74,9.064399,2.567781,4.416746,1.595828,8.398909,2.66478,18.56803,12.63851,40.20664,60.21637,60.24947,60.22963,0.6588969,1.23961,0.1838255,35.26291,60.22963,225.0157,85.18222,89.31002,53.24956,272.1726,0.6840592
2018-03-27 09:38:00,42.79348,28.58538,8.495701,974.738,1005.957,712.7496,705.516,350.2584,381.392,651.0419,677.2821,901.3685,866.8757,906.4145,913.4309,61.3339,869.8748,909.5267,657.588,681.0341,691.0009,697.6237,711.2533,1090.125,2.736614,0.5415859,4.884847,4.669295,4.09681,0.6150572,0.8485413,23.19821,13.0071,2.856228,5.219286,5.472168,900.5515,2.239196,5.262696,3.744901,0.4828034,0.05354866,0.0,0.0,0.0,39.68946,462.7862,47.60023,840.6265,1304.867,1271.177,1106.519,186.0636,199.3121,1531.836,176.3162,178.2063,279.2426,155.4044,244.5526,16.54893,124.6879,342.1788,859.3846,197.8078,186.6654,1530.564,1527.306,1526.362,1524.664,1522.172,1521.325,1531.096,1529.426,1528.452,1526.886,1525.759,1524.89,1524.19,1523.243,1521.78,1520.741,10.89117,5.920994,2.828966,2.743174,12.3744,5.084356,17.97025,13.9012,36.8441,60.21637,60.24947,60.22963,0.9419409,1.481104,0.1523572,35.26291,60.22963,225.0157,85.18222,88.99623,53.22226,271.1926,0.9541831
2018-03-27 11:22:00,43.05554,29.40913,10.4219,974.6729,1007.196,713.1694,705.2153,350.7795,381.9623,651.2455,680.788,897.056,867.8851,906.7161,913.9106,61.37003,871.6967,912.1515,658.6325,681.117,692.6422,697.3148,714.5533,1092.857,1.897639,0.5004885,5.074007,4.723723,5.13255,0.5699047,0.3628362,23.19312,14.42094,2.024776,5.540826,4.032499,900.9747,2.114962,2.780636,3.529536,1.377285,0.09112995,0.0,0.0,0.0,28.96101,522.368,117.5194,725.6589,1306.827,1197.425,1072.235,179.8427,247.9685,1584.788,239.3896,228.0247,327.2024,213.9146,285.5724,79.01444,241.8834,419.3224,819.834,255.4629,233.2415,1530.564,1527.379,1526.383,1524.718,1522.228,1521.347,1531.124,1529.476,1528.481,1526.942,1525.784,1524.884,1524.219,1523.257,1521.825,1520.754,10.49234,8.249869,4.491582,8.987816,6.568155,2.911428,20.621,13.44961,38.64447,60.21637,60.24947,60.22963,0.9391623,1.984203,0.2158555,35.26291,60.22963,225.0157,85.18222,89.00126,53.45249,281.6965,0.963649
2018-03-27 20:52:00,44.35528,30.06494,14.02223,974.956,1007.714,713.1892,706.1617,349.6947,380.3802,650.691,680.1376,895.883,865.6266,906.1632,912.6503,61.23654,869.908,912.5123,657.7264,680.5165,690.4794,697.0626,716.7499,1094.606,1.32301,2.156391,5.467714,5.08022,5.022567,0.2393763,1.342518,23.38098,12.67626,1.333175,4.731463,2.91695,899.8756,2.516029,2.297607,2.751979,2.418741,0.4081191,0.0,0.0,0.0,55.96944,527.7152,134.7719,687.4146,1235.493,1237.134,1004.67,196.3427,253.9727,1585.343,264.3112,222.6225,357.1423,254.9356,308.0444,97.85758,248.2407,442.773,763.9246,242.1794,296.0785,1530.564,1527.458,1526.401,1524.79,1522.298,1521.358,1531.14,1529.52,1528.489,1527.011,1525.808,1524.951,1524.24,1523.315,1521.869,1520.794,4.029992,7.129551,6.665649,12.85143,12.82255,2.683623,17.63963,7.826685,16.27595,60.21637,60.24947,60.22963,0.1370785,0.2008517,0.0925617,35.26291,60.22963,225.0157,85.18222,89.84029,53.60575,254.6983,0.1654031
2018-03-27 20:53:00,44.35772,30.06022,14.00962,974.9897,1007.714,713.1147,706.1706,349.6859,380.3787,650.6909,680.1205,895.8608,865.6086,906.1341,912.6709,61.23498,869.8713,912.4692,657.7593,680.4902,690.485,697.053,716.8893,1094.719,1.347346,2.154123,5.46593,5.07912,5.016766,0.2407454,1.344058,23.38089,12.67144,1.336415,4.730262,2.989504,899.8903,2.523289,2.398637,2.754253,2.410501,0.4100236,0.0,0.0,0.0,55.20149,527.4552,133.8706,681.5055,1234.723,1232.529,1007.021,212.1681,253.4504,1581.62,263.7236,222.5824,356.4947,254.2395,307.6622,97.33952,247.7941,441.6635,764.4097,241.8986,295.6484,1530.564,1527.458,1526.401,1524.789,1522.297,1521.358,1531.14,1529.519,1528.489,1527.011,1525.808,1524.951,1524.24,1523.315,1521.869,1520.794,3.51141,8.147413,7.958554,13.4377,11.81177,3.449585,19.68203,8.376137,9.133938,60.21637,60.24947,60.22963,0.1078643,0.1074022,0.06341973,35.26291,60.22963,225.0157,85.18222,89.8841,53.61547,191.8184,0.125127
2018-03-27 21:06:00,44.32419,29.98542,13.81645,974.9736,1007.642,713.2643,706.2648,349.6239,380.3597,650.626,680.1102,895.7438,865.4288,906.1811,912.5878,61.22647,869.8666,912.4251,657.7391,680.443,690.4255,697.0591,716.3492,1094.249,1.573571,2.098747,5.441336,5.064553,4.942984,0.2515859,1.364086,23.38356,12.60953,1.370958,4.718744,3.197346,899.8535,2.549453,2.708218,2.785289,2.312621,0.4231997,0.0,0.0,0.0,50.13218,524.3559,131.8346,688.8073,1242.753,1230.297,1028.143,266.9822,249.4074,1580.691,259.4763,218.2279,351.4455,251.6641,303.5405,93.08681,243.3361,435.4297,766.5126,237.7494,293.0161,1530.564,1527.452,1526.4,1524.784,1522.292,1521.358,1531.138,1529.515,1528.488,1527.006,1525.807,1524.946,1524.239,1523.315,1521.866,1520.793,3.609132,7.103227,12.51375,9.988285,12.93738,5.427639,19.14669,7.750441,6.633235,60.21637,60.24947,60.22963,0.4014946,0.1051003,0.0248435,35.26291,60.22963,225.0157,85.18222,89.57058,53.57779,87.53031,0.4022625
